model,wis,coverage_50,coverage_80,coverage_90,coverage_95
ensemble_conformal,1215.8819250909119,0.4705629565964761,0.7574129780833692,0.878813923506661,0.9338203695745595
ensemble_vincent,1280.7181129675478,0.45896003437902877,0.7595616673828964,0.8414267296948861,0.87559088955737
ensemble_invwis,1287.3569456402724,0.4785131070047271,0.7645036527718092,0.8575418994413407,0.8942844864632574
lgbm_quantile,1299.3516867198878,0.5098839707778255,0.8066179630425441,0.8929952728835411,0.9275891706059304
mechanistic_traj,1302.923852689443,0.5315857327030511,0.7866351525569403,0.8528147829823808,0.8897722389342501
climatological_quantile,1326.9072115981476,0.4761495487752471,0.7342071336484745,0.8210141813493769,0.8495917490330898
gru_negbin,1372.9506462779925,0.32380747743876237,0.5672539750752041,0.677481736140954,0.74881822088526
seasonal_naive,1458.6092643425013,0.4488611946712505,0.7990975504941985,0.8824666953158573,0.9245810055865922
naive,1664.0429113546293,0.40180489901160293,0.7206703910614525,0.8046841426729695,0.8586162440911044
